instance,well,window_key,window_index,onset_offset,role,n_variables_scored,score,refusal
WELL-00001_20140124083303,WELL-00001,0,8,-5,baseline,4,0.1073,
WELL-00001_20140124083303,WELL-00001,1,9,-4,baseline,4,1.1765,
WELL-00001_20140124083303,WELL-00001,2,10,-3,baseline,4,2.4689,
WELL-00001_20140124083303,WELL-00001,3,11,-2,pre,4,7.6025,
WELL-00001_20140124083303,WELL-00001,4,13,0,post0,4,33.2453,
WELL-00001_20140124083303,WELL-00001,5,14,1,post1,4,0.5652,
WELL-00001_20170226130146,WELL-00001,6,5,-5,baseline,5,0.3546,
WELL-00001_20170226130146,WELL-00001,7,6,-4,baseline,5,0.1806,
WELL-00001_20170226130146,WELL-00001,8,7,-3,baseline,5,0.2999,
WELL-00001_20170226130146,WELL-00001,9,8,-2,pre,5,0.2698,
WELL-00001_20170226130146,WELL-00001,10,10,0,post0,5,0.2723,
WELL-00001_20170226130146,WELL-00001,11,11,1,post1,5,0.3254,
WELL-00002_20140212160333,WELL-00002,12,0,-5,baseline,0,,"0 of 6 variables scored, fewer than 4; P-ANULAR: context: 11 of 240 minutes with data, fewer than 60; P-JUS-CKGL: context: 0 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 11 of 240 minutes with data, fewer than 60; P-TPT: context: 11 of 240 minutes with data, fewer than 60; T-TPT: context: 11 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,13,1,-4,baseline,3,,"3 of 6 variables scored, fewer than 4; P-JUS-CKGL: context: 0 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale"
WELL-00002_20140212160333,WELL-00002,14,2,-3,baseline,3,,"3 of 6 variables scored, fewer than 4; P-JUS-CKGL: context: 0 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale"
WELL-00002_20140212160333,WELL-00002,15,3,-2,pre,3,,"3 of 6 variables scored, fewer than 4; P-JUS-CKGL: context: 0 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale"
WELL-00002_20140212160333,WELL-00002,16,5,0,post0,3,,"3 of 6 variables scored, fewer than 4; P-JUS-CKGL: context: 0 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale"
WELL-00002_20140212160333,WELL-00002,17,6,1,post1,3,,"3 of 6 variables scored, fewer than 4; P-JUS-CKGL: context: 0 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale"
WELL-00006_20170731170930,WELL-00006,18,11,-5,baseline,5,0.3879,
WELL-00006_20170731170930,WELL-00006,19,12,-4,baseline,5,0.1591,
WELL-00006_20170731170930,WELL-00006,20,13,-3,baseline,4,0.3419,
WELL-00006_20170731170930,WELL-00006,21,14,-2,pre,4,0.1971,
WELL-00006_20170731170930,WELL-00006,22,16,0,post0,5,0.5311,
WELL-00006_20170731170930,WELL-00006,23,17,1,post1,5,0.6205,
WELL-00006_20180617190257,WELL-00006,24,7,-5,baseline,5,0.2529,
WELL-00006_20180617190257,WELL-00006,25,8,-4,baseline,4,0.1504,
